predictor_vars,mediator_vars,outcome_vars,moderator_vars,a_est,a_stdest,a_pvalue,b_est,b_stdest,b_pvalue,indirect_est,indirect_stdest,indirect_pvalue,total_est,total_stdest,total_pvalue
income_numeric,erq,pss,twn,0.022194672344748662,0.20649031604891446,0.1577921468238621,-0.15901556930903715,-0.17446868071169158,0.004973220794921129,-0.003529298458527751,-0.03602609302079434,0.20696970538108617,-0.008499982446544022,-0.08676544698405994,0.5533679194717402
ace,rs,pss,shanahan_binary,0.33781833892173524,0.13804432011781237,0.208566492202926,0.9651024288687048,0.5404797576194506,0,0.326029299409758,0.07461016067801707,0.2113776920167707,-0.08928603824607667,-0.020432659493804933,0.8532052946482462
msss_comm,rs,negaff,shanahan_binary,0.29639356635873926,0.2720394831330277,0.21793515473996616,0.09349048856216528,0.47034539181666307,0,0.02770997932556109,0.12795251728380644,0.22254734911255425,-0.003595998295812735,-0.016604741154501057,0.9402646502827385
msss_comm,rs,pss,shanahan_binary,0.29568857176684527,0.2708086662372035,0.21979712152452358,0.9828102043865817,0.5536763790027946,0,0.2906057456529496,0.14994036172479122,0.22273033988756863,-0.17569456482357015,-0.09065101773378681,0.6810727143202002
income_numeric,erq,posaff,shanahan_binary,0.30965998204725403,0.22630313374094313,0.2248553846039747,0.0279706133770606,0.2811985326850897,2.7796947770220015e-6,0.008661379636191268,0.06363610914999082,0.24001315151654246,-0.03795794270989517,-0.2788811813885774,0.13064741620632625
ace,rs,negaff,twn,-0.020483832006478492,-0.10554460629636553,0.2369465599560563,0.093176150252804,0.4615845583690059,0,-0.0019086046087888355,-0.04871776048553848,0.24082829970984077,-1.6818776915167094e-4,-0.004293048133907497,0.9617806289740181
ace,rs,srh,shanahan_binary,0.33940601348454535,0.13877239944449934,0.20676233732694738,0.049574387201611315,0.16891428651681847,0.0026310610491706576,0.016825845131038162,0.023440640840394544,0.24437268629501108,0.01203393864337496,0.016764877570063105,0.8797045503509653
ace,rs,pss,twn,-0.020338165419059622,-0.10424608207940209,0.24213387423535115,0.9319727095076709,0.5219263374617237,0,-0.01895461513201621,-0.05440877581443656,0.24481877585083578,-0.040272362715522425,-0.11560086761167898,0.1920744349859409
ace,rs,negaff,shanahan_binary,0.31287227759752434,0.12829685402913407,0.24221105504809515,0.09522251675789384,0.47172203856610556,0,0.029792485696610676,0.0605204535242412,0.2458705628502471,0.010667330261587175,0.021669614005976133,0.844867463727653
msss_comm,rs,srh,shanahan_binary,0.2956886595202026,0.27080875167968327,0.2197969771517425,0.06051811000515971,0.20270374160657573,6.802856029235471e-4,0.01789451882412184,0.05489394722527785,0.2484595861062524,0.10220789362012854,0.31353705419712424,0.15292539126313565
